date,code,departure,arrival,estimated,student_discount,discount_text,selected
10/20,837,15:11,16:15,1:04,True,早鳥9折 學生75折,True
10/20,655,15:21,16:23,1:02,True,學生75折,False
10/20,1321,16:01,16:52,0:51,True,早鳥9折 學生75折,False
10/20,841,16:11,17:15,1:04,True,早鳥9折 學生75折,False
10/20,661,16:21,17:23,1:02,True,學生88折,False
10/20,663,16:46,17:46,1:00,True,學生75折,False
10/20,845,17:11,18:15,1:04,True,學生75折,False
10/20,667,17:21,18:23,1:02,True,學生88折,False
10/20,1547,17:56,18:56,1:00,True,學生88折,False
10/20,849,18:11,19:15,1:04,True,學生75折,False
10/20,837,15:11,16:15,1:04,True,早鳥9折 學生75折,True
10/20,655,15:21,16:23,1:02,True,學生75折,False
10/20,1321,16:01,16:52,0:51,True,早鳥9折 學生75折,False
10/20,841,16:11,17:15,1:04,True,早鳥9折 學生75折,False
10/20,661,16:21,17:23,1:02,True,學生88折,False
10/20,663,16:46,17:46,1:00,True,學生75折,False
10/20,845,17:11,18:15,1:04,True,學生75折,False
10/20,667,17:21,18:23,1:02,True,學生88折,False
10/20,1547,17:56,18:56,1:00,True,學生88折,False
10/20,849,18:11,19:15,1:04,True,學生75折,False
10/20,837,15:11,16:15,1:04,True,早鳥9折 學生75折,True
10/20,655,15:21,16:23,1:02,True,學生75折,False
10/20,1321,16:01,16:52,0:51,True,早鳥9折 學生75折,False
10/20,841,16:11,17:15,1:04,True,早鳥9折 學生75折,False
10/20,661,16:21,17:23,1:02,True,學生88折,False
10/20,663,16:46,17:46,1:00,True,學生75折,False
10/20,845,17:11,18:15,1:04,True,學生75折,False
10/20,667,17:21,18:23,1:02,True,學生88折,False
10/20,1547,17:56,18:56,1:00,True,學生88折,False
10/20,849,18:11,19:15,1:04,True,學生75折,False
